"date","illinois"
"2013-12-01",83
"2013-12-08",75
"2013-12-15",74
"2013-12-22",67
"2013-12-29",61
"2014-01-05",54
"2014-01-12",51
"2014-01-19",49
"2014-01-26",47
"2014-02-02",46
"2014-02-09",48
"2014-02-16",47
"2014-02-23",48
"2014-03-02",47
"2014-03-09",48
"2014-03-16",47
"2014-03-23",48
"2014-03-30",48
"2014-04-06",46
"2014-04-13",47
"2014-04-20",48
"2014-04-27",47
"2014-05-04",47
"2014-05-11",45
"2014-05-18",42
"2014-05-25",44
"2014-06-01",49
"2014-06-08",50
"2014-06-15",52
"2014-06-22",48
"2014-06-29",47
"2014-07-06",49
"2014-07-13",49
"2014-07-20",51
"2014-07-27",52
"2014-08-03",54
"2014-08-10",52
"2014-08-17",53
"2014-08-24",54
"2014-08-31",50
"2014-09-07",51
"2014-09-14",49
"2014-09-21",51
"2014-09-28",51
"2014-10-05",50
"2014-10-12",51
"2014-10-19",54
"2014-10-26",53
"2014-11-02",55
"2014-11-09",60
"2014-11-16",63
"2014-11-23",81
"2014-11-30",84
"2014-12-07",79
"2014-12-14",83
"2014-12-21",75
"2014-12-28",65
"2015-01-04",60
"2015-01-11",59
"2015-01-18",57
"2015-01-25",56
"2015-02-01",53
"2015-02-08",53
"2015-02-15",52
"2015-02-22",54
"2015-03-01",54
"2015-03-08",54
"2015-03-15",49
"2015-03-22",53
"2015-03-29",55
"2015-04-05",48
"2015-04-12",50
"2015-04-19",49
"2015-04-26",48
"2015-05-03",50
"2015-05-10",50
"2015-05-17",50
"2015-05-24",51
"2015-05-31",52
"2015-06-07",52
"2015-06-14",51
"2015-06-21",52
"2015-06-28",50
"2015-07-05",55
"2015-07-12",73
"2015-07-19",55
"2015-07-26",55
"2015-08-02",54
"2015-08-09",56
"2015-08-16",60
"2015-08-23",58
"2015-08-30",54
"2015-09-06",53
"2015-09-13",50
"2015-09-20",54
"2015-09-27",54
"2015-10-04",54
"2015-10-11",56
"2015-10-18",58
"2015-10-25",55
"2015-11-01",56
"2015-11-08",61
"2015-11-15",66
"2015-11-22",92
"2015-11-29",94
"2015-12-06",83
"2015-12-13",89
"2015-12-20",84
"2015-12-27",71
"2016-01-03",55
"2016-01-10",51
"2016-01-17",52
"2016-01-24",50
"2016-01-31",50
"2016-02-07",48
"2016-02-14",49
"2016-02-21",47
"2016-02-28",50
"2016-03-06",50
"2016-03-13",47
"2016-03-20",50
"2016-03-27",49
"2016-04-03",49
"2016-04-10",48
"2016-04-17",48
"2016-04-24",48
"2016-05-01",48
"2016-05-08",47
"2016-05-15",48
"2016-05-22",47
"2016-05-29",49
"2016-06-05",50
"2016-06-12",50
"2016-06-19",48
"2016-06-26",51
"2016-07-03",49
"2016-07-10",64
"2016-07-17",51
"2016-07-24",51
"2016-07-31",51
"2016-08-07",52
"2016-08-14",53
"2016-08-21",55
"2016-08-28",54
"2016-09-04",51
"2016-09-11",52
"2016-09-18",50
"2016-09-25",51
"2016-10-02",50
"2016-10-09",51
"2016-10-16",50
"2016-10-23",54
"2016-10-30",48
"2016-11-06",49
"2016-11-13",59
"2016-11-20",79
"2016-11-27",85
"2016-12-04",79
"2016-12-11",81
"2016-12-18",78
"2016-12-25",74
"2017-01-01",63
"2017-01-08",60
"2017-01-15",58
"2017-01-22",55
"2017-01-29",54
"2017-02-05",54
"2017-02-12",51
"2017-02-19",55
"2017-02-26",57
"2017-03-05",55
"2017-03-12",54
"2017-03-19",57
"2017-03-26",57
"2017-04-02",56
"2017-04-09",54
"2017-04-16",53
"2017-04-23",57
"2017-04-30",60
"2017-05-07",58
"2017-05-14",56
"2017-05-21",55
"2017-05-28",57
"2017-06-04",58
"2017-06-11",63
"2017-06-18",62
"2017-06-25",60
"2017-07-02",61
"2017-07-09",83
"2017-07-16",63
"2017-07-23",65
"2017-07-30",66
"2017-08-06",67
"2017-08-13",66
"2017-08-20",65
"2017-08-27",66
"2017-09-03",61
"2017-09-10",63
"2017-09-17",63
"2017-09-24",62
"2017-10-01",62
"2017-10-08",62
"2017-10-15",65
"2017-10-22",70
"2017-10-29",65
"2017-11-05",70
"2017-11-12",75
"2017-11-19",92
"2017-11-26",100
"2017-12-03",91
"2017-12-10",95
"2017-12-17",89
"2017-12-24",87
"2017-12-31",76
"2018-01-07",72
"2018-01-14",70
"2018-01-21",66
"2018-01-28",66
"2018-02-04",64
"2018-02-11",61
"2018-02-18",62
"2018-02-25",65
"2018-03-04",64
"2018-03-11",63
"2018-03-18",63
"2018-03-25",64
"2018-04-01",62
"2018-04-08",61
"2018-04-15",61
"2018-04-22",62
"2018-04-29",60
"2018-05-06",62
"2018-05-13",60
"2018-05-20",62
"2018-05-27",59
"2018-06-03",61
"2018-06-10",64
"2018-06-17",60
"2018-06-24",64
"2018-07-01",62
"2018-07-08",67
"2018-07-15",93
"2018-07-22",65
"2018-07-29",64
"2018-08-05",66
"2018-08-12",67
"2018-08-19",66
"2018-08-26",63
"2018-09-02",63
"2018-09-09",60
"2018-09-16",62
"2018-09-23",60
"2018-09-30",62
"2018-10-07",63
"2018-10-14",62
"2018-10-21",65
"2018-10-28",63
"2018-11-04",67
"2018-11-11",75
"2018-11-18",93
